"source","left_context","verb","right_context","korpus","gender","verbform","verbform_factor","korpus_factor","gender_factor"
"Kukaččí vejce; Odrodilec","- notělý druhému , "" a já ti za to","děkuju",". Potřebovals den volna . Naneštěstí se práce jen zpomalila","written","f","u","u","written","f"
"Kukaččí vejce; Odrodilec",", a doufejme , že se vrátí . Mnohokrát vám","děkuju",". "" Oba Ceremyoni se pak obrátili a vzlétli .","written","f","u","u","written","f"
"Mládí v hajzlu 4","placené za celý den . "" "" Tak to moc","děkuju","... slečno Carlotto ... A vám hodně štěstí ... slečno","written","f","u","u","written","f"
"Mládí v hajzlu 4",". "" "" Dík , Nicku . A taky ti","děkuji","za tu pochvalnou erekci . Kéž by Paulo ke mně","written","f","i","i","written","f"
"Mládí v hajzlu 4","žes okrádala stařenky . "" "" To ti fakt moc","děkuju",", Franku . "" "" Nevěděl sem , co říct","written","f","u","u","written","f"
"Mládí v hajzlu 4","její třpytivě fialovej pohled značně potemněl . "" Jé ,","děkuju",", tos nemusel , Ricku , "" poměrně rychle se","written","f","u","u","written","f"
"Mládí v hajzlu 4","smečka divoký pes . "" "" Aha . Moc vám","děkuju","za informace . "" O deset minut pozdějc sem už","written","f","u","u","written","f"
"Superhrdina Max","stoupl . "" Asi máte pravdu . Ale stejně vám","děkuju",". Promiňte , že jsem vás obral o váš čas","written","f","u","u","written","f"
"Úterní erotický klub","Karlsenové , Antonelle Hartelové a Michael Rosenové . A také","děkuji","Adamu Chromymu , který si mě vybral z hloučku nadějných","written","f","i","i","written","f"
"Úterní erotický klub","čtvrtka ? "" "" Ano ! Vyřiďte jí , že","děkuju",". "" "" Zapijeme to ? "" odepsal právník .","written","f","u","u","written","f"
"Úterní erotický klub","sedadla . "" To bylo fakt príma . Moc ti","děkuju",", tetičko Margot , "" povzdechl si spokojeně , ještě","written","f","u","u","written","f"
"Úterní erotický klub","taxíku přímo před Margotiným domem . "" A vám taky","děkuju",", kamarádky tetičky Margot . "" "" Rádo se stalo","written","f","u","u","written","f"
"Úterní erotický klub","Díky , "" řekla Aimee . "" Oběma vám moc","děkuju",". "" Povídaly si dlouho do noci a probraly stovky","written","f","u","u","written","f"
"Úterní erotický klub","? "" "" Né . Jenom tu polívku . Ale","děkuju",". "" Lux jí vrátila jídelníček . Servírka si s","written","f","u","u","written","f"
"Kouzlo noci svatojánské","Frances . Madam , “ obrátil sek Sophii , „","děkuji","za nádherný večer a vynikající večeři . Bohužel , jsem","written","f","i","i","written","f"
"Kouzlo noci svatojánské","se jít podívat na zbytek mých šatů . Velice vám","děkuju",", že jste mi se vším pomohla . Ach ,","written","f","u","u","written","f"
"Kouzlo noci svatojánské","vás , pane , že nic neobvyklého . Marcusi ,","děkuju","vám . Rozhodneme tu záležitost později . “ Marcus Carruthers","written","f","u","u","written","f"
"Kouzlo noci svatojánské","usmála . „ To by bylo milé , Otisi ,","děkuju",". Pane , nedal byste si šálek čaje ? “","written","f","u","u","written","f"
"Kouzlo noci svatojánské","něco , paní ? “ „ Ne , Rosie ,","děkuju",". Už můžete jít . “ Viděl , jak se","written","f","u","u","written","f"
"Kouzlo noci svatojánské","radši něco jiného ? “ „ N - ne ,","děkuju",". “ Zvedla skleničku a napila se . Hřejivá tekutina","written","f","u","u","written","f"
"Kouzlo noci svatojánské","odsekla . „ Zaplatím jim nové šaty sama . Nicméně","děkuju",", že mým sestrám dovolíte , aby bydlely ve vašem","written","f","u","u","written","f"
"Debora","Ne , rozhodně ne ! Pro mě jen limonádu ,","děkuji",". Potřebuji mít všechny smysly pohromadě v téhle soutěži .","written","f","i","i","written","f"
"Debora","přeji úspěch . "" "" Děkuji vám , Ravenscare ,","děkuji","! Byl jsem si jist , že se v tomto","written","f","i","i","written","f"
"Debora",". Dej si trochu piva . "" "" Nechci ,","děkuji",", "" odmítl netrpělivě Adrian . "" Jak jsem se","written","f","i","i","written","f"
"Debora","nebo bys něco pojedl ? "" "" Ó ne ,","děkuji","! Povečeřeli jsme v Hatfieldu , a teď jsem ještě","written","f","i","i","written","f"
"Debora",". "" "" Ne , ne , nechci nic ,","děkuji","! Jen si přečtěte dopis , prosím vás ! ""","written","f","i","i","written","f"
"Procitnutí",". Baculaté ženy se mu nelíbí . „ Ne ,","děkuji",", “ odmítla nakonec . „ A teď mě zaveďte","written","f","i","i","written","f"
"Procitnutí",". „ Chutná vám to ? “ „ Ano ,","děkuji",", chutná . “ Vrátila se k jídlu , teď","written","f","i","i","written","f"
"Procitnutí","majetku a snobismu vyslechla hrozné věci . „ Ne ,","děkuji","vám , počkám jako ostatní . “ Zamračila se ,","written","f","i","i","written","f"
"Procitnutí","ho za ruku . „ Ach Taylore , moc ti","děkuji",", žes mě sem vzal . Čím začneme ? Máš","written","f","i","i","written","f"
"Jumper",". "" Bylo mi trapně . "" Hm , moc","děkuju",". Já fakt … "" "" Poděkuješ mi později .","written","f","u","u","written","f"
"Jumper","neukázal . "" "" Díky , doktore . Moc vám","děkuju",". "" Zavěsil jsem . První impulz radil skočit pryč","written","f","u","u","written","f"
"Ztráty a lži","“ Proust vypadal dotčeně . „ Mnohokrát vám za to","děkuju",". Když už jste tak hovorný , třeba byste mi","written","f","u","u","written","f"
"Heisenbergovy oči","soulad pominul , všiml si Potter . „ Ne ,","děkuji",", “ řekl . Vzal si složku Durantových a zamířil","written","f","i","i","written","f"
"Zvěrolékař jde do boje","nemohla dělat vůbec nic . „ Tak vám moc pěkně","děkuju",", mladej pane , “ pravil farmář . „ Jste","written","f","u","u","written","f"
"Zvěrolékař jde do boje","najíst . “ „ Ne , ne , ne ,","děkuji",", musím tam zajet . “ Usmál se . „","written","f","i","i","written","f"
"Zvěrolékař jde do boje","jsem nevěřícně pohlédl do postýlky . „ Tak vám moc","děkuju",", paní Dewburnová . Bylo to od vás laskavé ,","written","f","u","u","written","f"
"Zvěrolékař jde do boje","„ Napijete se se mnou ? “ „ Jo ,","děkuju","vám . “ Namířil třaslavý prst na svou sklenici .","written","f","u","u","written","f"
"Zvěrolékař jde do boje","majitelů psů , kteří byli postiženi . Děkuji vám ...","děkuji","vám . Zajdeme za nimi a poptáme se v místních","written","f","i","i","written","f"
"Zvěrolékař jde do boje",". “ Napřáhl ruku . „ Tak vám tedy znovu","děkuji",", pane Herriote . Jsem Petr Gillard a tohle je","written","f","i","i","written","f"
"Zvěrolékař jde do boje","podstatně zhoršilo . “ Dychtivě kývl . „ Ano ,","děkuju",", pane doktor , moc vám děkuju . “ Siegfried","written","f","u","u","written","f"
"Zvěrolékař jde do boje","„ Ano , děkuju , pane doktor , moc vám","děkuju",". “ Siegfried lomozil ve skříňce a já jsem píchl","written","f","u","u","written","f"
"Zvěrolékař jde do boje","odporovat , a přijal peníze . „ Tak vám moc","děkuju",", pane Farnon . Vyvezu za to paničku na vejlet","written","f","u","u","written","f"
"Rodová znamení","je to od tebe velice milé , ale ne ,","děkuju",". Pro mě to není , takové psychodrama . “","written","f","u","u","written","f"
"Rodová znamení","ne ( lo ) , pomoc ( ezra ) a","děkuji","( toda ) . Když dohrajeme , tváří se ,","written","f","i","i","written","f"
"Rodová znamení","jsme domluveni , “ prohlásí . „ A teď vám","děkuju","za výborné jídlo , ale musím prchat , mám zkoušku","written","f","u","u","written","f"
"Rodová znamení",", ale pak , zrovna když se chystám říct jí","děkuju","a na shledanou , povídá : „ Byla bys tak","written","f","u","u","written","f"
"Rodová znamení","k autu a Johann jde bezeslova za nimi , žádné","děkuju","nebo sbohem , ani matce , ani Gretě , ani","written","f","u","u","written","f"
"Dvojí láska","co jste potřebovala ? “ „ Ano , našla ,","děkuju",", “ odpověděla Lauren a položila si kabelku a sako","written","f","u","u","written","f"
"Dvojí láska",". Stejně ho už nikdy neuvidí . „ No ,","děkuju","za všechno . Doufám , že prezident nezjistí , že","written","f","u","u","written","f"
"Dvojí láska","nezmění - udělala jsem na něj příšerný dojem . Ale","děkuju","za nabídku . “ O deset minut později Lauren zaplatila","written","f","u","u","written","f"
"Dvojí láska","usmál . „ Trochu kávy ! “ „ Ano ,","děkuju",". “ „ Za co ? “ chytila ho vesele","written","f","u","u","written","f"
"Dvojí láska",". „ Už jsem si kávu udělala , ale stejně","děkuju",", “ prohlásila Lauren odměřeně . S rostoucím neklidem si","written","f","u","u","written","f"
"Dvojí láska","Na shledanou , “ rozloučila se tiše . „ A","děkuji","vám . “ Potom vyšla z restaurace a už se","written","f","i","i","written","f"
"Na sklonku léta","nechám … měla jsem jen takový nápad … Moc vám","děkuju",". “ Oblékla jsem si plášť , sebrala kabelku a","written","f","u","u","written","f"
"Na sklonku léta","Lumleyová ti nepochybně udělá další . “ „ Ne ,","děkuju",". “ Přitáhla jsem si nízkou koženou stoličku a posadila","written","f","u","u","written","f"
"Královna z Provence","na svůj věk . “ „ Kvůli Isabelle za něj","děkuji","bohu , “ poznamenala Eleanor s opětovnou výčitkou . Bylo","written","f","i","i","written","f"
"Temná řeka","byste si čaj , Michaeli ? “ „ Ano ,","děkuji",". “ Paní Brewsterová vyjmula z malé skříňky mezi sedadly","written","f","i","i","written","f"
"Čarodějka Šestého měsíce",". Udělám to zítra . Ale moc vám za všechno","děkuju",". Především tobě , Roxy , “ řekla Nina a","written","f","u","u","written","f"
"Čarodějka Šestého měsíce","radostně skočili okolo krku . „ Dobře , dobře ,","děkuji",", “ řekla Nina dojatě , „ ale mám pro","written","f","i","i","written","f"
"Ameriko, Ameriko","koláčem . Byla ještě teplá . „ No tedy ,","děkuji","ti , Coreyi , ” řekla paní Metareyová . „","written","f","i","i","written","f"
"Ameriko, Ameriko","” otázala se jí moje žena . „ Ne ,","děkuji",", madam , ” odpověděla Trieste . Natáhla ruku a","written","f","i","i","written","f"
"Ameriko, Ameriko","skončil , ozval jsem se : „ Ještě jednou vám","děkuju",", pane McGoware . ” Z téže kapsy vytáhl další","written","f","u","u","written","f"
"Ameriko, Ameriko","bože , ” hlesla máma . „ Moc vám všem","děkuji",", ” řekl jsem , přestože Clara dosud stála za","written","f","i","i","written","f"
"Ameriko, Ameriko","na hodinky . „ Pane Metareyi , paní Metareyová ,","děkuji","vám . Byli jste na mého syna velice hodní .","written","f","i","i","written","f"
"Ameriko, Ameriko",", dokud jsme ve vzduchu . ” „ Ne ,","děkuji",". ” „ Je vidět , že máš rozum ,","written","f","i","i","written","f"
"Ameriko, Ameriko","času , ” odpověděla mi na to . „ Ale","děkuju",". ” „ Myslíte to zadání ? Nebo to ,","written","f","u","u","written","f"
"Ameriko, Ameriko","se na mě mohla podívat . „ Ale stejně ti","děkuju",". Je moc pěkný . ” „ Na místo v","written","f","u","u","written","f"
"Ameriko, Ameriko","o něj . To je prozatím vše . Mnohokrát Vám","děkuji",". Hodně jste pro mě znamenal . Trieste Druhý den","written","f","i","i","written","f"
"Elyonova země","Jak se vede rodině ? “ „ Velice dobře ,","děkuju",", “ štěbetal Murphy . „ Chceš je vidět ?","written","f","u","u","written","f"
"Zimní žár","pouze jeden , “ podotkla , „ a každý den","děkuji","Bohu , že to byl Conner , kdo přežil .","written","f","i","i","written","f"
"Zaříkávačka koní","o její břicho . Skoro jako by chtěl říct „","děkuji","“ . „ Počkej ! “ napomíná ho Zuzka .","written","f","i","i","written","f"
"Zaříkávačka koní","jak Zuzka v obličeji potupně zrudla . „ Ne ,","děkuji","! “ odpoví Zuzka rychle . „ Maminka mi zabalila","written","f","i","i","written","f"
"Detektiv Klubko","na kole , stojí venku před vchodem . A mnohokrát","děkuju","za přípitek k narozeninám ! “ „ Tak tedy pěkné","written","f","u","u","written","f"
"Detektiv Klubko","Pempersi ? “ ptá se sekretářka . „ Ne ,","děkuji",", mám už s někým smluvený oběd , “ odpoví","written","f","i","i","written","f"
"Upíří deníky","ale náladu někoho poslouchat . „ Jsem v pořádku ,","děkuju",". Zeptej se kohokoli okolo . Takže si můžeš přestat","written","f","u","u","written","f"
"Upíří deníky","mě i o moje záležitosti . Jsem v pořádku ,","děkuju",". “ Sdělení bylo víc než jasné . Matt se","written","f","u","u","written","f"
"Upíří deníky","“ zakončila a podala mu mísu . „ Ne ,","děkuji",". Ale dám si ještě kousek tohohle . “ Podržel","written","f","i","i","written","f"
"Upíří deníky","mu prosím tě , že jedu do penzionu . A","děkuju",". “ Přibouchla dvířka před jeho protesty a protočila motor","written","f","u","u","written","f"
"Rubínová pouta","ráno elegantním kostýmem . „ Ne , můžeš jít a","děkuji","ti . “ Žena neodpověděla a vyšla ven . Claudie","written","f","i","i","written","f"
"Vše končí láskou","důstojníka i nadále dlouhý nos . “ „ Opravdu vám","děkuji","za vaši galantní nabídku , “ zasmála se a uvažovala","written","f","i","i","written","f"
